MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:50:59.827395,0.09,0.0,0.15,0.04,11.94,0.01,0.05,7.19,0.0,0.0,1.62,0.0,0.0,12.04,5.82,3.3,5.75,0.0,3.52,0.0,0.33,0.0,2.54,0.0,0.01,11.29,0.35,0.31,1.58,0.0,1.26,0.32,0.0,0.09,1.95,2.59
07/30/2025-15:51:00.277104,0.09,0.0,0.15,0.04,11.94,0.01,0.05,7.19,0.0,0.0,1.62,0.0,0.0,12.04,5.82,3.3,5.75,0.0,3.52,0.0,0.33,0.0,2.54,0.0,0.01,11.29,0.35,0.31,1.58,0.0,1.26,0.32,0.0,0.09,1.95,2.59
07/30/2025-15:51:00.758590,0.09,0.0,0.15,0.04,11.94,0.01,0.05,7.19,0.0,0.0,1.62,0.0,0.0,12.04,5.82,3.3,5.75,0.0,3.52,0.0,0.33,0.0,2.54,0.0,0.01,11.29,0.35,0.31,1.58,0.0,1.26,0.32,0.0,0.09,1.95,2.59
07/30/2025-15:51:01.333698,0.05,0.0,0.0,0.0,3.3,0.02,0.05,5.28,1.59,0.0,1.54,0.0,0.0,6.82,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.3,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.26,0.71,0.0
07/30/2025-15:51:01.823474,0.05,0.0,0.0,0.0,3.3,0.02,0.05,5.28,1.59,0.0,1.54,0.0,0.0,6.82,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.3,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.26,0.71,0.0
07/30/2025-15:51:02.276974,0.05,0.0,0.0,0.0,3.3,0.02,0.05,5.28,1.59,0.0,1.54,0.0,0.0,6.82,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.3,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.26,0.71,0.0
07/30/2025-15:51:02.727811,0.05,0.0,0.0,0.0,3.3,0.02,0.05,5.28,1.59,0.0,1.54,0.0,0.0,6.82,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.3,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.26,0.71,0.0
07/30/2025-15:51:03.196161,0.09,1.08,0.0,-0.0,0.0,-0.0,0.0,0.0,6.01,0.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,4.33,0.0,0.0,1.03,0.0,0.0,1.33,0.0,0.55,1.84,0.0
07/30/2025-15:51:03.710084,0.09,1.08,0.0,-0.0,0.0,-0.0,0.0,0.0,6.01,0.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,4.33,0.0,0.0,1.03,0.0,0.0,1.33,0.0,0.55,1.84,0.0
07/30/2025-15:51:04.196220,0.09,1.08,0.0,-0.0,0.0,-0.0,0.0,0.0,6.01,0.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,4.33,0.0,0.0,1.03,0.0,0.0,1.33,0.0,0.55,1.84,0.0
07/30/2025-15:51:04.670290,0.09,1.08,0.0,-0.0,0.0,-0.0,0.0,0.0,6.01,0.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,4.33,0.0,0.0,1.03,0.0,0.0,1.33,0.0,0.55,1.84,0.0
07/30/2025-15:51:05.180067,0.05,0.0,0.0,0.02,5.14,0.02,0.0,5.58,11.96,0.0,1.02,0.38,0.01,7.91,3.72,2.42,2.46,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,7.77,0.0,0.28,1.44,0.0,0.0,1.99,0.0,2.27,2.28,0.35
07/30/2025-15:51:05.609761,0.05,0.0,0.0,0.02,5.14,0.02,0.0,5.58,11.96,0.0,1.02,0.38,0.01,7.91,3.72,2.42,2.46,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,7.77,0.0,0.28,1.44,0.0,0.0,1.99,0.0,2.27,2.28,0.35
07/30/2025-15:51:06.066743,0.05,0.0,0.0,0.02,5.14,0.02,0.0,5.58,11.96,0.0,1.02,0.38,0.01,7.91,3.72,2.42,2.46,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,7.77,0.0,0.28,1.44,0.0,0.0,1.99,0.0,2.27,2.28,0.35
07/30/2025-15:51:06.564957,0.0,0.0,0.0,0.03,10.14,-0.0,0.0,6.92,13.93,0.0,0.91,0.32,0.0,10.95,4.08,2.69,3.89,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,9.84,0.0,0.14,1.68,0.0,0.0,2.25,0.0,1.69,2.99,0.31
07/30/2025-15:51:07.072245,0.0,0.0,0.0,0.03,10.14,-0.0,0.0,6.92,13.93,0.0,0.91,0.32,0.0,10.95,4.08,2.69,3.89,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,9.84,0.0,0.14,1.68,0.0,0.0,2.25,0.0,1.69,2.99,0.31
07/30/2025-15:51:07.517230,0.0,0.0,0.0,0.03,10.14,-0.0,0.0,6.92,13.93,0.0,0.91,0.32,0.0,10.95,4.08,2.69,3.89,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,9.84,0.0,0.14,1.68,0.0,0.0,2.25,0.0,1.69,2.99,0.31
07/30/2025-15:51:07.948963,0.0,0.0,0.0,0.03,10.14,-0.0,0.0,6.92,13.93,0.0,0.91,0.32,0.0,10.95,4.08,2.69,3.89,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,9.84,0.0,0.14,1.68,0.0,0.0,2.25,0.0,1.69,2.99,0.31
07/30/2025-15:51:08.446550,0.14,0.0,0.0,0.04,2.81,0.01,0.0,6.67,12.29,0.0,1.42,0.45,-0.0,12.57,3.97,2.74,4.31,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,10.86,0.0,0.6,1.71,0.0,0.0,2.49,0.0,1.98,3.09,0.78
07/30/2025-15:51:08.916019,0.14,0.0,0.0,0.04,2.81,0.01,0.0,6.67,12.29,0.0,1.42,0.45,-0.0,12.57,3.97,2.74,4.31,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,10.86,0.0,0.6,1.71,0.0,0.0,2.49,0.0,1.98,3.09,0.78
07/30/2025-15:51:09.414133,0.14,0.0,0.0,0.04,2.81,0.01,0.0,6.67,12.29,0.0,1.42,0.45,-0.0,12.57,3.97,2.74,4.31,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,10.86,0.0,0.6,1.71,0.0,0.0,2.49,0.0,1.98,3.09,0.78
07/30/2025-15:51:09.881502,0.14,0.0,0.0,0.04,2.81,0.01,0.0,6.67,12.29,0.0,1.42,0.45,-0.0,12.57,3.97,2.74,4.31,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,10.86,0.0,0.6,1.71,0.0,0.0,2.49,0.0,1.98,3.09,0.78
07/30/2025-15:51:10.340861,0.05,0.0,0.0,0.05,4.46,-0.0,0.0,7.35,14.97,0.0,1.85,0.54,0.09,13.94,4.62,2.9,4.64,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,12.17,0.0,0.84,1.87,0.0,0.0,2.67,0.0,2.03,3.27,0.93
07/30/2025-15:51:10.850637,0.05,0.0,0.0,0.05,4.46,-0.0,0.0,7.35,14.97,0.0,1.85,0.54,0.09,13.94,4.62,2.9,4.64,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,12.17,0.0,0.84,1.87,0.0,0.0,2.67,0.0,2.03,3.27,0.93
07/30/2025-15:51:11.287516,0.05,0.0,0.0,0.05,4.46,-0.0,0.0,7.35,14.97,0.0,1.85,0.54,0.09,13.94,4.62,2.9,4.64,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,12.17,0.0,0.84,1.87,0.0,0.0,2.67,0.0,2.03,3.27,0.93
07/30/2025-15:51:11.818691,0.36,0.0,0.0,0.07,5.14,0.02,0.0,8.27,14.72,0.0,1.95,0.61,0.04,14.87,4.83,3.01,4.78,0.0,0.0,0.0,0.12,0.0,2.79,0.0,0.0,13.27,0.44,0.95,1.93,0.0,0.0,2.77,0.0,1.98,3.35,0.96
07/30/2025-15:51:12.270334,0.36,0.0,0.0,0.07,5.14,0.02,0.0,8.27,14.72,0.0,1.95,0.61,0.04,14.87,4.83,3.01,4.78,0.0,0.0,0.0,0.12,0.0,2.79,0.0,0.0,13.27,0.44,0.95,1.93,0.0,0.0,2.77,0.0,1.98,3.35,0.96
07/30/2025-15:51:12.819707,0.36,0.0,0.0,0.07,5.14,0.02,0.0,8.27,14.72,0.0,1.95,0.61,0.04,14.87,4.83,3.01,4.78,0.0,0.0,0.0,0.12,0.0,2.79,0.0,0.0,13.27,0.44,0.95,1.93,0.0,0.0,2.77,0.0,1.98,3.35,0.96
07/30/2025-15:51:13.272321,0.36,0.0,0.0,0.07,5.14,0.02,0.0,8.27,14.72,0.0,1.95,0.61,0.04,14.87,4.83,3.01,4.78,0.0,0.0,0.0,0.12,0.0,2.79,0.0,0.0,13.27,0.44,0.95,1.93,0.0,0.0,2.77,0.0,1.98,3.35,0.96
07/30/2025-15:51:13.728482,0.09,0.0,0.0,0.09,5.24,-0.0,0.0,8.31,15.03,0.0,2.06,0.57,0.05,14.75,4.94,3.08,4.9,0.0,0.0,0.0,0.33,0.0,2.83,0.0,0.0,13.41,0.54,1.05,1.99,0.0,0.0,2.88,0.0,1.95,3.52,1.07
07/30/2025-15:51:14.216731,0.09,0.0,0.0,0.09,5.24,-0.0,0.0,8.31,15.03,0.0,2.06,0.57,0.05,14.75,4.94,3.08,4.9,0.0,0.0,0.0,0.33,0.0,2.83,0.0,0.0,13.41,0.54,1.05,1.99,0.0,0.0,2.88,0.0,1.95,3.52,1.07
07/30/2025-15:51:14.667507,0.09,0.0,0.0,0.09,5.24,-0.0,0.0,8.31,15.03,0.0,2.06,0.57,0.05,14.75,4.94,3.08,4.9,0.0,0.0,0.0,0.33,0.0,2.83,0.0,0.0,13.41,0.54,1.05,1.99,0.0,0.0,2.88,0.0,1.95,3.52,1.07
07/30/2025-15:51:15.167887,0.09,0.0,0.0,0.09,5.24,-0.0,0.0,8.31,15.03,0.0,2.06,0.57,0.05,14.75,4.94,3.08,4.9,0.0,0.0,0.0,0.33,0.0,2.83,0.0,0.0,13.41,0.54,1.05,1.99,0.0,0.0,2.88,0.0,1.95,3.52,1.07
07/30/2025-15:51:15.653176,0.09,0.0,0.0,0.12,6.7,0.02,0.0,8.64,15.52,0.0,2.19,0.67,0.02,14.88,5.9,3.27,5.08,0.0,0.0,0.0,0.16,0.0,2.93,0.0,0.0,13.45,0.57,0.9,2.04,0.0,0.0,2.84,0.0,1.89,3.63,0.09
07/30/2025-15:51:16.168402,0.09,0.0,0.0,0.12,6.7,0.02,0.0,8.64,15.52,0.0,2.19,0.67,0.02,14.88,5.9,3.27,5.08,0.0,0.0,0.0,0.16,0.0,2.93,0.0,0.0,13.45,0.57,0.9,2.04,0.0,0.0,2.84,0.0,1.89,3.63,0.09
07/30/2025-15:51:16.654495,0.09,0.0,0.0,0.12,6.7,0.02,0.0,8.64,15.52,0.0,2.19,0.67,0.02,14.88,5.9,3.27,5.08,0.0,0.0,0.0,0.16,0.0,2.93,0.0,0.0,13.45,0.57,0.9,2.04,0.0,0.0,2.84,0.0,1.89,3.63,0.09
07/30/2025-15:51:17.102831,0.09,0.0,0.0,0.12,6.7,0.02,0.0,8.64,15.52,0.0,2.19,0.67,0.02,14.88,5.9,3.27,5.08,0.0,0.0,0.0,0.16,0.0,2.93,0.0,0.0,13.45,0.57,0.9,2.04,0.0,0.0,2.84,0.0,1.89,3.63,0.09
07/30/2025-15:51:17.585939,0.05,0.0,0.0,0.08,7.47,0.0,0.0,8.55,13.91,0.0,2.25,0.71,0.01,14.85,6.38,3.35,5.23,0.0,0.0,0.0,0.22,0.0,2.97,0.0,0.0,13.4,1.03,1.14,2.07,0.0,0.0,2.9,0.0,1.83,3.76,0.35
07/30/2025-15:51:18.097005,0.05,0.0,0.0,0.08,7.47,0.0,0.0,8.55,13.91,0.0,2.25,0.71,0.01,14.85,6.38,3.35,5.23,0.0,0.0,0.0,0.22,0.0,2.97,0.0,0.0,13.4,1.03,1.14,2.07,0.0,0.0,2.9,0.0,1.83,3.76,0.35
07/30/2025-15:51:18.584831,0.05,0.0,0.0,0.08,7.47,0.0,0.0,8.55,13.91,0.0,2.25,0.71,0.01,14.85,6.38,3.35,5.23,0.0,0.0,0.0,0.22,0.0,2.97,0.0,0.0,13.4,1.03,1.14,2.07,0.0,0.0,2.9,0.0,1.83,3.76,0.35
07/30/2025-15:51:19.017734,0.14,0.0,0.0,0.09,12.37,0.02,0.0,8.58,13.93,0.0,2.3,0.68,0.01,15.08,6.53,3.43,5.3,0.0,0.0,0.0,0.22,0.0,3.03,0.0,0.0,14.12,1.12,1.2,2.07,0.0,0.0,2.94,0.0,1.74,3.62,0.67
07/30/2025-15:51:19.455409,0.14,0.0,0.0,0.09,12.37,0.02,0.0,8.58,13.93,0.0,2.3,0.68,0.01,15.08,6.53,3.43,5.3,0.0,0.0,0.0,0.22,0.0,3.03,0.0,0.0,14.12,1.12,1.2,2.07,0.0,0.0,2.94,0.0,1.74,3.62,0.67
